countries,iso3,region,gaul_adm2,gadm_adm2,gaul_adm1,gadm_adm1,2017Unit match%,PAHO data,2016MatchingStatus,2017MatchingStatus,2018MatchingStatus,2018 note,unit count 2016,unit count 2017,unit count 2018,# of who adm2 unit,# of who adm1 unit,Name matching,shapefile,Note,2016 status
Angola,AGO,Africa,104,102,922,922,102,,,ok match,,,166,166,170,162,18,done,gadm,,
Armenia,ARM,world,28,100,100,100,100,,,total match,total match,,11,11,11,40,11,100%,gadm,,2018
Azerbaijan,AZE,world,84,80,573,630,80,,,not successfully match,,,63,63,63,NA,71,,,,
Burundi,BDI,Africa,34,35,271,271,100,,,total match,total match,,46,46,46,38,17,100%,district_sanitaire_burundi_mai2016v3,"in health data folder, same unit match 46/46",2018
Benin,BEN,Africa,100,101,642,642,100,,,total match,total match,,77,77,77,77,12,100%,gaul,,2018
Burkina Faso,BFA,Africa,156,156,538,538,156,,,new WHO healthdisrtict ,,,70,70,70,77,13,,same 70 unit,,
Bangladesh,BGD,world,100,100,914,914,100,,,total match,total match,,64,64,64,80,8,100%,gaul,,2018
Belize,BLZ,world,100,100,100,100,100,matched,,total match,total match,,6,6,6,6,6,100%,gadm,,2018
Bolivia,BOL,world,300,357,3767,3767,300,matched,,not successfully match,,,339,339,339,112,9,,,,
Brazil,BRA,world,101,101,17965,20626,101,matched,,ok match,total match,,5570,5569,5570,5563,27,on hold/delete from matching,gadm or WHO adm2 shpfile,,2018
Bhutan,BTN,world,10,10,100,100,100,,,total match,total match,,20,20,20,20,20,100%,gadm,,2018
Botswana,BWA,Africa,240,80,240,150,100,,,total match,ok match,23/24 match,24,24,24,24,21,100%,BotswanaHealthDistrictsLsib2016July,24/24 unit match,2017
Central African Republic,CAF,Africa,42,59,176,176,59,,,not successfully match,,,30,30,35,59,14,,no good IHME shapefile,,
Cote d'Ivoire,CIV,Africa,252,Inf,593,593,90.2173913,,,ok match,,,82,83,83,65,20,,CIV_MICS_2006,83/92 unitmatch,
Cameroon,CMR,Africa,326,326,1890,1890,100,,,total match,total match,,189,189,189,172,10,100%,Cameroon_HealthDistricts12012016,"Cameroon healthdistrict, same unit match",2018
Democratic Republic of the Congo,COD,Africa,1032,215,4691,1985,100,,,ok match,ok match,,518,516,519,1038,37,specific shapefile: 4 unmatched locations,health_repaired,,
Congo,COG,Africa,46,Inf,342,342,46,,,not successfully match,,,41,41,43,NA,NA,,no good IHME shapefile,,
Colombia,COL,world,103,105,3400,3506,103,matched,,ok match,total match,,1122,1086,1122,1108,32,done/<20 unmatched locations,gaul,,2018
Comoros,COM,Africa,567,567,567,567,567,,,not successfully match,,,17,17,17,3,3,,no good IHME shapefile,,
Cape Verde,CPV,Africa,100,100,157,100,100,,,total match,total match,,22,22,22,17,9,100%,gadm,,2018
Costa Rica,CRI,world,100,100,1157,1157,100,matched,,total match,total match,,81,81,NA,81,7,100%,gadm,,2017
Cuba,CUB,world,74,100,1120,1050,100,matched,,total match,total match,,167,168,168,169,15,100%,gadm,,2018
Dominican Republic,DOM,world,57,60,291,291,60,matched,,not successfully match,,,157,93,157,153,32,,,,
Algeria,DZA,Africa,3,3,100,100,100,,,total match,total match,,48,48,48,48,47,100%,gadm,,2018
