,iso3,Country_who,Country_mbg
1,AGO,Angola,Angola
2,BDI,Burundi,Burundi
3,BEN,Benin,Benin
4,BFA,Burkina Faso,Burkina Faso
5,BWA,Botswana,Botswana
6,CAF,Central African Republic,Central African Republic
7,CIV,Côte d'Ivoire,Cote d'Ivoire
8,CMR,Cameroon,Cameroon
9,COD,Democratic Republic of the Congo,Democratic Republic of the Congo
10,COG,Congo,Congo
11,COM,Comoros,Comoros
12,CPV,Cape Verde,Cape Verde
13,DZA,Algeria,Algeria
14,ERI,Eritrea,Eritrea
15,ETH,Ethiopia,Ethiopia
16,GAB,Gabon,Gabon
17,GHA,Ghana,Ghana
18,GIN,Guinea,Guinea
19,GMB,Gambia,Gambia
20,GNB,Guinea-Bissau,Guinea-Bissau
21,GNQ,Equatorial Guinea,Equatorial Guinea
22,KEN,Kenya,Kenya
23,LBR,Liberia,Liberia
24,LSO,Lesotho,Lesotho
25,MDG,Madagascar,Madagascar
26,MLI,Mali,Mali
27,MOZ,Mozambique,Mozambique
28,MRT,Mauritania,Mauritania
29,MWI,Malawi,Malawi
30,NAM,Namibia,Namibia
31,NER,Niger,Niger
32,RWA,Rwanda,Rwanda
33,SEN,Senegal,Senegal
34,SLE,Sierra Leone,Sierra Leone
35,SSD,South Sudan,South Sudan
36,STP,Sao Tome and Principe,Sao Tome and Principe
37,SWZ,Swaziland,Swaziland
38,SYC,Seychelles,Seychelles
39,TCD,Chad,Chad
40,TGO,Togo,Togo
41,TZA,Tanzania,Tanzania
42,UGA,Uganda,Uganda
43,ZAF,South Africa,South Africa
44,ZMB,Zambia,Zambia
45,ZWE,Zimbabwe,Zimbabwe
46,DJI,NA,Djibouti
47,EGY,NA,Egypt
48,NGA,NA,Nigeria
49,SDN,NA,Sudan
