,iso,Country_mbg,Country_who2017,Country_who2016
1,AFG,Afghanistan,NA,Afghanistan
2,AGO,Angola,Angola,Angola
3,ARM,Armenia,Armenia,Armenia
4,ASM,American Samoa,NA,NA
5,AZE,Azerbaijan,Azerbaijan,Azerbaijan
6,BDI,Burundi,Burundi,Burundi
7,BEN,Benin,Benin,Benin
8,BFA,Burkina Faso,Burkina Faso,Burkina Faso
9,BGD,Bangladesh,Bangladesh,Bangladesh
10,BHR,Bahrain,NA,Bahrain
11,BLZ,Belize,Belize,Belize
12,BOL,Bolivia,Bolivia,Bolivia
13,BRA,Brazil,Brazil,Brazil
14,BTN,Bhutan,Bhutan,Bhutan
15,BWA,Botswana,Botswana,Botswana
16,CAF,Central African Republic,Central African Republic,CAR
17,CHN,China,NA,NA
18,CIV,Cote d'Ivoire,Cote d'Ivoire,Côte d'Ivoire
19,CMR,Cameroon,Cameroon,Cameroon
20,COD,Democratic Republic of the Congo,Democratic Republic of the Congo,DRCongo
21,COG,Congo,Congo,Congo
22,COL,Colombia,Colombia,Colombia
23,COM,Comoros,Comoros,Comoros
24,CPV,Cape Verde,Cape Verde,Cabo Verde
25,CRI,Costa Rica,Costa Rica,Costa Rica
26,CUB,Cuba,Cuba,Cuba
27,DJI,Djibouti,NA,NA
28,DMA,Dominica,NA,Dominica
29,DOM,Dominican Republic,Dominican Republic,Dominican Republic
30,DZA,Algeria,Algeria,Algeria
31,ECU,Ecuador,Ecuador,Ecuador
32,EGY,Egypt,NA,NA
33,ERI,Eritrea,Eritrea,Eritrea
34,ETH,Ethiopia,Ethiopia,Ethiopia
35,FJI,Fiji,NA,NA
36,FSM,Federated States of Micronesia,Federated States of Micronesia,NA
37,GAB,Gabon,Gabon,Gabon
38,GEO,Georgia,Georgia,Georgia
39,GHA,Ghana,Ghana,Ghana
40,GIN,Guinea,Guinea,Guinea
41,GMB,The Gambia,The Gambia,Gambia
42,GNB,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
43,GNQ,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
44,GRD,Grenada,Grenada,Grenada
45,GTM,Guatemala,Guatemala,Guatemala
46,GUY,Guyana,Guyana,Guyana
47,HND,Honduras,Honduras,Honduras
48,HTI,Haiti,Haiti,Haiti
49,IDN,Indonesia,Indonesia,Indonesia
50,IND,India,India,India
51,IRN,Iran,NA,NA
52,IRQ,Iraq,NA,NA
53,JAM,Jamaica,Jamaica,Jamaica
54,JOR,Jordan,Jordan,NA
55,KEN,Kenya,Kenya,Kenya
56,KGZ,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
57,KHM,Cambodia,Cambodia,NA
58,KIR,Kiribati,Kiribati,NA
59,LAO,Laos,NA,Laos
60,LBR,Liberia,Liberia,Liberia
61,LCA,Saint Lucia,NA,Saint Lucia
62,LKA,Sri Lanka,Sri Lanka,Sri Lanka
63,LSO,Lesotho,Lesotho,Lesotho
64,MAR,Morocco,NA,NA
65,MDA,Moldova,Moldova,Republic of Moldova
66,MDG,Madagascar,Madagascar,Madagascar
67,MDV,Maldives,Maldives,Maldives
68,MEX,Mexico,Mexico,Mexico
69,MHL,Marshall Islands,Marshall Islands,NA
70,MLI,Mali,Mali,Mali
71,MMR,Myanmar,Myanmar,Myanmar
72,MNG,Mongolia,Mongolia,NA
73,MOZ,Mozambique,Mozambique,Mozambique
74,MRT,Mauritania,Mauritania,Mauritania
75,MWI,Malawi,Malawi,Malawi
76,MYS,Malaysia,NA,NA
77,NA,French Guiana,NA,NA
